K, CoverageSize
0, 0.003246753246753247
1, 0.003246753246753247
2, 0.003246753246753247
3, 0.003246753246753247
4, 0.003246753246753247
5, 0.003246753246753247
6, 0.003246753246753247
7, 0.003246753246753247
8, 0.003246753246753247
9, 0.003246753246753247
10, 0.003246753246753247
11, 0.003246753246753247
12, 0.003246753246753247
13, 0.003246753246753247
14, 0.003246753246753247
15, 0.003246753246753247
16, 0.003246753246753247
17, 0.003246753246753247
18, 0.003246753246753247
19, 0.003246753246753247
20, 0.003246753246753247
21, 0.003246753246753247
22, 0.003246753246753247
23, 0.003246753246753247
24, 0.003246753246753247
25, 0.003246753246753247
26, 0.003246753246753247
27, 0.003246753246753247
28, 0.003246753246753247
29, 0.003246753246753247
30, 0.003246753246753247
31, 0.003246753246753247
32, 0.003246753246753247
33, 0.003246753246753247
34, 0.003246753246753247
35, 0.003246753246753247
36, 0.003246753246753247
37, 0.003246753246753247
38, 0.003246753246753247
39, 0.003246753246753247
40, 0.003246753246753247
41, 0.003246753246753247
42, 0.003246753246753247
43, 0.003246753246753247
44, 0.003246753246753247
45, 0.003246753246753247
46, 0.003246753246753247
47, 0.003246753246753247
48, 0.003246753246753247
49, 0.003246753246753247
50, 0.003246753246753247
51, 0.003246753246753247
52, 0.003246753246753247
53, 0.006493506493506494
54, 0.003246753246753247
55, 0.003246753246753247
56, 0.003246753246753247
57, 0.003246753246753247
58, 0.003246753246753247
59, 0.003246753246753247
60, 0.003246753246753247
61, 0.003246753246753247
62, 0.003246753246753247
63, 0.003246753246753247
64, 0.003246753246753247
65, 0.003246753246753247
66, 0.003246753246753247
67, 0.003246753246753247
68, 0.003246753246753247
69, 0.003246753246753247
70, 0.003246753246753247
71, 0.003246753246753247
72, 0.003246753246753247
73, 0.003246753246753247
74, 0.003246753246753247
75, 0.003246753246753247
76, 0.003246753246753247
77, 0.003246753246753247
78, 0.003246753246753247
79, 0.003246753246753247
80, 0.003246753246753247
81, 0.003246753246753247
82, 0.003246753246753247
83, 0.003246753246753247
84, 0.003246753246753247
85, 0.003246753246753247
86, 0.003246753246753247
87, 0.003246753246753247
88, 0.003246753246753247
89, 0.003246753246753247
90, 0.003246753246753247
91, 0.003246753246753247
92, 0.003246753246753247
93, 0.003246753246753247
94, 0.003246753246753247
95, 0.003246753246753247
96, 0.003246753246753247
97, 0.003246753246753247
98, 0.003246753246753247
99, 0.003246753246753247
100, 0.003246753246753247
101, 0.003246753246753247
102, 0.003246753246753247
103, 0.003246753246753247
104, 0.003246753246753247
105, 0.003246753246753247
106, 0.003246753246753247
107, 0.003246753246753247
108, 0.003246753246753247
109, 0.003246753246753247
110, 0.003246753246753247
111, 0.003246753246753247
112, 0.003246753246753247
113, 0.003246753246753247
114, 0.003246753246753247
115, 0.003246753246753247
116, 0.003246753246753247
117, 0.003246753246753247
118, 0.003246753246753247
119, 0.003246753246753247
120, 0.003246753246753247
121, 0.003246753246753247
122, 0.003246753246753247
123, 0.003246753246753247
124, 0.003246753246753247
125, 0.003246753246753247
126, 0.003246753246753247
127, 0.003246753246753247
128, 0.003246753246753247
129, 0.003246753246753247
130, 0.003246753246753247
131, 0.003246753246753247
132, 0.003246753246753247
133, 0.003246753246753247
134, 0.003246753246753247
135, 0.003246753246753247
136, 0.003246753246753247
137, 0.003246753246753247
138, 0.003246753246753247
139, 0.003246753246753247
140, 0.003246753246753247
141, 0.003246753246753247
142, 0.003246753246753247
143, 0.003246753246753247
144, 0.003246753246753247
145, 0.003246753246753247
146, 0.003246753246753247
147, 0.003246753246753247
148, 0.003246753246753247
149, 0.003246753246753247
150, 0.003246753246753247
151, 0.003246753246753247
152, 0.003246753246753247
153, 0.003246753246753247
154, 0.003246753246753247
155, 0.003246753246753247
156, 0.003246753246753247
157, 0.003246753246753247
158, 0.003246753246753247
159, 0.003246753246753247
160, 0.003246753246753247
161, 0.003246753246753247
162, 0.003246753246753247
163, 0.003246753246753247
164, 0.003246753246753247
165, 0.003246753246753247
166, 0.003246753246753247
167, 0.003246753246753247
168, 0.003246753246753247
169, 0.003246753246753247
170, 0.003246753246753247
171, 0.003246753246753247
172, 0.003246753246753247
173, 0.003246753246753247
174, 0.003246753246753247
175, 0.003246753246753247
176, 0.003246753246753247
177, 0.003246753246753247
178, 0.003246753246753247
179, 0.003246753246753247
180, 0.003246753246753247
181, 0.003246753246753247
182, 0.003246753246753247
183, 0.003246753246753247
184, 0.003246753246753247
185, 0.003246753246753247
186, 0.003246753246753247
187, 0.003246753246753247
188, 0.003246753246753247
189, 0.003246753246753247
190, 0.003246753246753247
191, 0.003246753246753247
192, 0.003246753246753247
193, 0.003246753246753247
194, 0.003246753246753247
195, 0.003246753246753247
196, 0.003246753246753247
197, 0.003246753246753247
198, 0.003246753246753247
199, 0.003246753246753247
200, 0.003246753246753247
201, 0.003246753246753247
202, 0.003246753246753247
203, 0.003246753246753247
204, 0.003246753246753247
205, 0.003246753246753247
206, 0.003246753246753247
207, 0.003246753246753247
208, 0.003246753246753247
209, 0.003246753246753247
210, 0.003246753246753247
211, 0.003246753246753247
212, 0.003246753246753247
213, 0.003246753246753247
214, 0.003246753246753247
215, 0.003246753246753247
216, 0.003246753246753247
217, 0.003246753246753247
218, 0.003246753246753247
219, 0.003246753246753247
220, 0.003246753246753247
221, 0.003246753246753247
222, 0.003246753246753247
223, 0.003246753246753247
224, 0.003246753246753247
225, 0.003246753246753247
226, 0.003246753246753247
227, 0.003246753246753247
228, 0.003246753246753247
229, 0.003246753246753247
230, 0.003246753246753247
231, 0.003246753246753247
232, 0.003246753246753247
233, 0.003246753246753247
234, 0.003246753246753247
235, 0.003246753246753247
236, 0.003246753246753247
237, 0.003246753246753247
238, 0.003246753246753247
239, 0.003246753246753247
240, 0.003246753246753247
241, 0.003246753246753247
242, 0.003246753246753247
243, 0.003246753246753247
244, 0.003246753246753247
245, 0.003246753246753247
246, 0.003246753246753247
247, 0.003246753246753247
248, 0.003246753246753247
249, 0.003246753246753247
250, 0.003246753246753247
251, 0.003246753246753247
252, 0.003246753246753247
253, 0.003246753246753247
254, 0.003246753246753247
255, 0.003246753246753247
256, 0.003246753246753247
257, 0.003246753246753247
258, 0.003246753246753247
259, 0.003246753246753247
260, 0.003246753246753247
261, 0.003246753246753247
262, 0.006493506493506494
263, 0.003246753246753247
264, 0.003246753246753247
265, 0.003246753246753247
266, 0.003246753246753247
267, 0.003246753246753247
268, 0.003246753246753247
269, 0.003246753246753247
270, 0.003246753246753247
271, 0.003246753246753247
272, 0.003246753246753247
273, 0.003246753246753247
274, 0.003246753246753247
275, 0.003246753246753247
276, 0.003246753246753247
277, 0.003246753246753247
278, 0.003246753246753247
279, 0.003246753246753247
280, 0.003246753246753247
281, 0.003246753246753247
282, 0.003246753246753247
283, 0.003246753246753247
284, 0.003246753246753247
285, 0.003246753246753247
286, 0.003246753246753247
287, 0.003246753246753247
288, 0.003246753246753247
